406 160
132 28
571 463
169 199 0
170 198 3.51054
168 205 7.02108
169 202 10.5316
170 199 14.0422
172 195 17.5527
172 209 21.0632
169 210 24.5738
168 212 28.0843
165 220 31.5949
163 224 35.1054
157 233 38.6159
149 242 42.1265
151 241 45.637
146 248 49.1476
147 248 52.6581
144 254 56.1686
145 256 59.6792
147 257 63.1897
147 258 66.7003
147 261 70.2108
147 262 73.7213
147 264 77.2319
147 266 80.7424
147 268 84.253
147 271 87.7635
147 273 91.274
147 275 94.7846
147 277 98.2951
147 280 101.806
148 281 105.316
148 284 108.827
148 286 112.337
148 289 115.848
148 293 119.358
149 294 122.869
149 297 126.379
149 299 129.89
149 302 133.401
150 305 136.911
151 308 140.422
152 311 143.932
152 314 147.443
153 316 150.953
155 320 154.464
156 324 157.974
158 328 161.485
159 329 164.995
161 333 168.506
161 334 172.016
162 337 175.527
163 338 179.038
164 341 182.548
166 342 186.059
167 346 189.569
168 347 193.08
169 348 196.59
172 351 200.101
173 353 203.611
174 353 207.122
176 358 210.632
177 357 214.143
178 359 217.653
179 361 221.164
180 362 224.675
183 364 228.185
184 367 231.696
187 371 235.206
188 372 238.717
190 373 242.227
191 372 245.738
192 373 249.248
193 374 252.759
194 374 256.269
195 375 259.78
197 374 263.29
199 376 266.801
200 378 270.312
201 379 273.822
202 380 277.333
203 384 280.843
203 387 284.354
202 387 287.864
203 386 291.375
203 387 294.885
205 386 298.396
205 387 301.906
207 387 305.417
208 387 308.927
207 388 312.438
207 389 315.949
208 390 319.459
210 390 322.97
211 389 326.48
213 389 329.991
212 389 333.501
213 389 337.012
213 389 340.522
214 387 344.033
213 387 347.543
215 386 351.054
215 386 354.565
216 385 358.075
219 386 361.586
217 385 365.096
217 385 368.607
216 384 372.117
217 385 375.628
215 384 379.138
214 384 382.649
215 384 386.159
213 383 389.67
212 383 393.18
213 383 396.691
212 382 400.202
212 382 403.712
210 380 407.223
209 379 410.733
208 379 414.244
207 377 417.754
208 378 421.265
207 377 424.775
208 378 428.286
208 378 431.796
208 378 435.307
205 376 438.817
206 375 442.328
205 375 445.839
206 376 449.349
206 377 452.86
205 376 456.37
204 373 459.881
204 372 463.391
202 367 466.902
203 368 470.412
203 365 473.923
204 366 477.433
203 363 480.944
203 362 484.454
201 356 487.965
200 356 491.476
199 357 494.986
198 351 498.497
198 351 502.007
198 351 505.518
198 350 509.028
199 349 512.539
199 350 516.049
200 352 519.56
202 355 523.07
203 358 526.581
203 356 530.091
202 349 533.602
199 341 537.113
200 340 540.623
200 339 544.134
200 341 547.644
201 341 551.155
202 343 554.665
203 344 558.176
204 344 561.686
204 346 565.197
203 345 568.707
204 343 572.218
204 341 575.729
204 343 579.239
204 344 582.75
204 343 586.26
204 343 589.771
204 341 593.281
205 340 596.792
205 338 600.302
206 338 603.813
207 338 607.323
209 336 610.834
209 336 614.344
212 335 617.855
215 333 621.366
217 332 624.876
219 331 628.387
219 331 631.897
220 331 635.408
219 333 638.918
222 332 642.429
225 331 645.939
226 331 649.45
226 332 652.96
227 332 656.471
227 332 659.982
229 333 663.492
228 332 667.003
229 333 670.513
228 333 674.024
232 334 677.534
230 334 681.045
237 338 684.555
237 339 688.066
238 340 691.576
245 338 695.087
247 337 698.597
247 337 702.108
249 336 705.618
251 334 709.129
252 334 712.64
254 332 716.15
256 330 719.661
257 330 723.171
258 329 726.682
261 325 730.192
263 323 733.703
260 325 737.213
261 325 740.724
263 324 744.234
264 323 747.745
266 321 751.255
267 319 754.766
273 314 758.277
276 311 761.787
277 310 765.298
280 309 768.808
284 305 772.319
287 302 775.829
292 301 779.34
295 299 782.85
298 297 786.361
307 292 789.871
305 292 793.382
309 290 796.893
311 289 800.403
313 288 803.914
316 287 807.424
319 286 810.935
322 284 814.445
325 283 817.956
327 282 821.466
330 281 824.977
332 280 828.487
334 279 831.998
338 277 835.508
340 277 839.019
344 275 842.53
346 274 846.04
349 273 849.551
353 271 853.061
356 270 856.572
360 268 860.082
363 267 863.593
367 265 867.103
370 264 870.614
375 262 874.124
377 262 877.635
384 258 881.146
385 258 884.656
388 257 888.167
391 256 891.677
388 257 895.188
396 254 898.698
398 253 902.209
411 249 905.719
412 248 909.23
415 247 912.74
419 246 916.251
421 246 919.761
427 245 923.272
431 245 926.782
434 244 930.293
439 243 933.804
447 240 937.314
450 240 940.825
456 237 944.335
460 235 947.846
463 234 951.356
469 232 954.867
475 228 958.377
477 228 961.888
484 225 965.398
486 223 968.909
492 220 972.419
498 217 975.93
502 215 979.441
502 213 982.951
508 210 986.462
515 206 989.972
522 201 993.483
526 199 996.993
522 200 1000.5
525 196 1004.01
526 194 1007.52
535 187 1011.04
543 180 1014.55
542 182 1018.06
542 181 1021.57
541 179 1025.08
541 178 1028.59
541 175 1032.1
541 172 1035.61
542 168 1039.12
542 166 1042.63
542 164 1046.14
541 161 1049.65
541 157 1053.16
539 152 1056.67
538 150 1060.18
536 147 1063.69
535 144 1067.2
533 139 1070.71
531 137 1074.23
528 132 1077.74
526 130 1081.25
525 128 1084.76
522 125 1088.27
521 122 1091.78
519 121 1095.29
516 117 1098.8
513 114 1102.31
511 111 1105.82
509 108 1109.33
506 104 1112.84
504 99 1116.35
501 96 1119.86
499 95 1123.37
495 91 1126.88
492 87 1130.39
489 84 1133.9
486 82 1137.41
483 78 1140.93
479 76 1144.44
476 73 1147.95
473 71 1151.46
470 69 1154.97
468 68 1158.48
464 65 1161.99
460 62 1165.5
457 61 1169.01
453 59 1172.52
449 57 1176.03
445 55 1179.54
441 53 1183.05
438 52 1186.56
435 51 1190.07
431 50 1193.58
428 49 1197.09
425 48 1200.6
421 47 1204.12
417 45 1207.63
415 45 1211.14
411 44 1214.65
409 44 1218.16
405 43 1221.67
402 42 1225.18
398 41 1228.69
395 40 1232.2
394 39 1235.71
389 38 1239.22
385 37 1242.73
381 37 1246.24
378 37 1249.75
374 36 1253.26
370 36 1256.77
366 36 1260.28
365 36 1263.79
360 37 1267.3
356 37 1270.82
351 37 1274.33
350 38 1277.84
344 36 1281.35
343 37 1284.86
337 36 1288.37
334 36 1291.88
331 37 1295.39
327 37 1298.9
323 37 1302.41
319 38 1305.92
316 38 1309.43
312 38 1312.94
308 39 1316.45
305 40 1319.96
300 40 1323.47
297 41 1326.98
293 41 1330.49
291 43 1334.01
285 43 1337.52
281 44 1341.03
278 46 1344.54
275 46 1348.05
273 47 1351.56
269 48 1355.07
265 49 1358.58
262 51 1362.09
260 52 1365.6
258 54 1369.11
254 55 1372.62
251 57 1376.13
247 58 1379.64
245 60 1383.15
243 61 1386.66
239 63 1390.17
237 64 1393.68
234 66 1397.19
232 67 1400.71
230 69 1404.22
227 70 1407.73
222 72 1411.24
219 73 1414.75
217 75 1418.26
214 76 1421.77
213 78 1425.28
211 81 1428.79
208 82 1432.3
205 84 1435.81
203 86 1439.32
200 89 1442.83
200 91 1446.34
197 94 1449.85
196 97 1453.36
193 99 1456.87
192 101 1460.38
191 104 1463.9
188 106 1467.41
188 109 1470.92
187 110 1474.43
185 112 1477.94
182 114 1481.45
181 116 1484.96
179 119 1488.47
177 122 1491.98
175 124 1495.49
173 127 1499
171 129 1502.51
169 133 1506.02
169 135 1509.53
166 138 1513.04
165 141 1516.55
163 144 1520.06
161 147 1523.57
160 151 1527.08
159 154 1530.6
159 158 1534.11
159 160 1537.62
156 165 1541.13
156 167 1544.64
154 170 1548.15
154 173 1551.66
152 177 1555.17
149 180 1558.68
149 183 1562.19
147 187 1565.7
147 190 1569.21
146 193 1572.72
145 197 1576.23
144 201 1579.74
143 204 1583.25
142 208 1586.76
142 211 1590.27
141 215 1593.79
142 218 1597.3
142 223 1600.81
140 227 1604.32
141 230 1607.83
142 233 1611.34
143 236 1614.85
143 240 1618.36
143 244 1621.87
